Contig	COG	Name	Start	End
PROKKA_02418	COG3663	G:T/U-mismatch repair DNA glycosylase	7	178
PROKKA_02419	COG0507	ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I	39	469
PROKKA_02422	COG0742	16S rRNA G966 N2-methylase RsmD	1	176
PROKKA_02426	COG1168	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	2	369
PROKKA_02429	COG0110	Acetyltransferase (isoleucine patch superfamily)	66	238
PROKKA_02430	COG0225	Peptide methionine sulfoxide reductase MsrA	155	314
PROKKA_02431	COG1228	Imidazolonepropionase or related amidohydrolase	1	216
PROKKA_02432	COG2986	Histidine ammonia-lyase	1	492
PROKKA_02433	COG2987	Urocanate hydratase	68	652
PROKKA_02434	COG3643	Glutamate formiminotransferase	4	330
PROKKA_02435	COG4206	Outer membrane cobalamin receptor protein	83	640
PROKKA_02436	COG0498	Threonine synthase	9	393
PROKKA_02437	COG0019	Diaminopimelate decarboxylase	6	353
PROKKA_02438	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	273	355
PROKKA_02439	COG1748	Saccharopine dehydrogenase, NADP-dependent	1	389
PROKKA_02442	COG0250	Transcription antitermination factor NusG	56	227
PROKKA_02443	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	235	464
PROKKA_02444	COG1209	dTDP-glucose pyrophosphorylase	1	292
PROKKA_02445	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme	1	177
PROKKA_02446	COG1091	dTDP-4-dehydrorhamnose reductase	2	277
PROKKA_02447	COG1088	dTDP-D-glucose 4,6-dehydratase	3	367
PROKKA_02448	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	10	384
PROKKA_02449	COG1035	Coenzyme F420-reducing hydrogenase, beta subunit	10	199
PROKKA_02451	COG0438	Glycosyltransferase involved in cell wall bisynthesis	14	405
PROKKA_02454	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1	143
PROKKA_02455	COG0438	Glycosyltransferase involved in cell wall bisynthesis	34	369
PROKKA_02456	COG1696	D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily	2	416
PROKKA_02458	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1	390
PROKKA_02459	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	13	302
PROKKA_02460	COG0438	Glycosyltransferase involved in cell wall bisynthesis	1	363
PROKKA_02461	COG2606	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	8	162
PROKKA_02463	COG3169	Uncharacterized conserved protein, DUF486 family	7	120
PROKKA_02464	COG0385	Predicted Na+-dependent transporter	1	290
PROKKA_02466	COG1610	Uncharacterized conserved protein YqeY	1	149
PROKKA_02468	COG0591	Na+/proline symporter	5	277
PROKKA_02469	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	44	122
PROKKA_02470	COG3592	Uncharacterized Fe-S cluster protein YjdI	10	72
PROKKA_02471	COG0040	ATP phosphoribosyltransferase	1	282
PROKKA_02472	COG0141	Histidinol dehydrogenase	31	425
PROKKA_02473	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	7	342
PROKKA_02474	COG0131	Imidazoleglycerol phosphate dehydratase HisB	321	484
PROKKA_02475	COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	1	116
PROKKA_02476	COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	2	243
PROKKA_02477	COG0107	Imidazole glycerol phosphate synthase subunit HisF	1	250
PROKKA_02478	COG0139	Phosphoribosyl-AMP cyclohydrolase	1	107
PROKKA_02480	COG1970	Large-conductance mechanosensitive channel	12	158
PROKKA_02481	COG5016	Pyruvate/oxaloacetate carboxyltransferase	1	515
PROKKA_02482	COG0628	Predicted PurR-regulated permease PerM	7	318
PROKKA_02483	COG1629	Outer membrane receptor proteins, mostly Fe transport	293	650
PROKKA_02484	COG1011	FMN phosphatase YigB, HAD superfamily	1	182
PROKKA_02486	COG3808	Na+ or H+-translocating membrane pyrophosphatase	24	740
PROKKA_02487	COG2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	32	420
PROKKA_02488	COG2209	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE	4	205
PROKKA_02489	COG1347	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD	16	218
PROKKA_02490	COG2869	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC	149	257
PROKKA_02491	COG1805	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB	4	375
PROKKA_02492	COG1726	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA	5	450
PROKKA_02493	COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	118	166
PROKKA_02494	COG1179	tRNA A37 threonylcarbamoyladenosine dehydratase	1	188
PROKKA_02495	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	1	312
PROKKA_02496	COG3760	Uncharacterized protein	92	250
PROKKA_02498	COG0696	Phosphoglycerate mutase (BPG-independent, AlkP superfamily)	1	507
PROKKA_02499	COG0013	Alanyl-tRNA synthetase	1	872
PROKKA_02500	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	153	285
PROKKA_02501	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	176	291
PROKKA_02502	COG0637	Beta-phosphoglucomutase or related phosphatase, HAD superfamily	8	130
PROKKA_02503	COG3857	ATP-dependent helicase/DNAse subunit B	668	842
PROKKA_02505	COG1074	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	8	470
PROKKA_02506	COG1074	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	90	477
PROKKA_02507	COG1132	ABC-type multidrug transport system, ATPase and permease component	428	643
PROKKA_02510	COG0264	Translation elongation factor EF-Ts	1	276
PROKKA_02511	COG0052	Ribosomal protein S2	1	221
PROKKA_02512	COG0103	Ribosomal protein S9	1	128
PROKKA_02513	COG0102	Ribosomal protein L13	7	148
PROKKA_02515	COG1883	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit	27	335
PROKKA_02516	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit	85	150
PROKKA_02518	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	3	520
PROKKA_02519	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	6	132
PROKKA_02520	COG0438	Glycosyltransferase involved in cell wall bisynthesis	442	593
PROKKA_02522	COG1703	Putative periplasmic protein kinase ArgK or related GTPase of G3E family	48	364
PROKKA_02523	COG0846	NAD-dependent protein deacetylase, SIR2 family	1	229
PROKKA_02526	COG4877	Uncharacterized protein	4	63
PROKKA_02527	COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	46	265
PROKKA_02528	COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	1	431
PROKKA_02530	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	1	385
PROKKA_02531	COG0300	Short-chain dehydrogenase	61	326
PROKKA_02532	COG1011	FMN phosphatase YigB, HAD superfamily	1	188
PROKKA_02536	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	1	227
PROKKA_02538	COG1278	Cold shock protein, CspA family	1	65
PROKKA_02540	COG0205	6-phosphofructokinase	1	342
PROKKA_02543	COG4474	Uncharacterized SPBc2 prophage-derived protein YoqJ	115	187
PROKKA_02546	COG1592	Rubrerythrin	59	183
PROKKA_02548	COG0531	Amino acid transporter	14	467
PROKKA_02549	COG2066	Glutaminase	8	312
PROKKA_02551	COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	19	73
PROKKA_02552	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	53	447
PROKKA_02553	COG2025	Electron transfer flavoprotein, alpha subunit	3	332
PROKKA_02554	COG2086	Electron transfer flavoprotein, alpha and beta subunits	5	289
PROKKA_02555	COG0104	Adenylosuccinate synthase	3	421
PROKKA_02558	COG0272	NAD-dependent DNA ligase	15	661
PROKKA_02559	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	5	285
PROKKA_02562	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	218	449
PROKKA_02563	COG0534	Na+-driven multidrug efflux pump	19	442
PROKKA_02564	COG3910	Predicted ATPase	8	239
PROKKA_02566	COG0188	DNA gyrase/topoisomerase IV, subunit A	15	816
PROKKA_02566	COG0188	DNA gyrase/topoisomerase IV, subunit A	624	825
PROKKA_02566	COG0188	DNA gyrase/topoisomerase IV, subunit A	513	720
PROKKA_02567	COG2116	Formate/nitrite transporter FocA, FNT family	6	259
PROKKA_02569	COG1674	DNA segregation ATPase FtsK/SpoIIIE and related proteins	475	976
PROKKA_02570	COG0796	Glutamate racemase	1	231
PROKKA_02571	COG0703	Shikimate kinase	1	167
PROKKA_02572	COG0188	DNA gyrase/topoisomerase IV, subunit A	64	522
PROKKA_02573	COG0187	DNA gyrase/topoisomerase IV, subunit B	10	609
PROKKA_02574	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	31	267
PROKKA_02575	COG0789	DNA-binding transcriptional regulator, MerR family	8	90
PROKKA_02576	COG1629	Outer membrane receptor proteins, mostly Fe transport	92	768
PROKKA_02577	COG5006	Threonine/homoserine efflux transporter RhtA	96	269
PROKKA_02578	COG1704	Uncharacterized conserved protein	4	189
PROKKA_02579	COG1512	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	1	166
PROKKA_02580	COG0366	Glycosidase	26	389
PROKKA_02581	COG1596	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	27	253
PROKKA_02582	COG0489	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster	566	746
PROKKA_02584	COG1209	dTDP-glucose pyrophosphorylase	7	183
PROKKA_02585	COG4942	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	179	294
PROKKA_02586	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase	2	355
PROKKA_02587	COG0750	Membrane-associated protease RseP, regulator of RpoE activity	4	167
PROKKA_02587	COG0750	Membrane-associated protease RseP, regulator of RpoE activity	234	436
PROKKA_02590	COG1066	Predicted ATP-dependent serine protease	1	453
PROKKA_02591	COG0451	Nucleoside-diphosphate-sugar epimerase	3	308
PROKKA_02592	COG0526	Thiol-disulfide isomerase or thioredoxin	6	103
PROKKA_02595	COG4123	tRNA1(Val) A37 N6-methylase TrmN6	1	223
PROKKA_02597	COG1136	ABC-type lipoprotein export system, ATPase component	1	215
PROKKA_02598	COG0294	Dihydropteroate synthase	12	278
PROKKA_02599	COG0237	Dephospho-CoA kinase	1	188
PROKKA_02601	COG0342	Preprotein translocase subunit SecD	392	661
PROKKA_02601	COG0342	Preprotein translocase subunit SecD	81	240
PROKKA_02601	COG0342	Preprotein translocase subunit SecD	825	975
PROKKA_02602	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	11	155
PROKKA_02606	COG3669	Alpha-L-fucosidase	69	266
PROKKA_02608	COG0443	Molecular chaperone DnaK (HSP70)	1	585
PROKKA_02614	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit	1	194
PROKKA_02616	COG1624	Diadenylate cyclase (c-di-AMP synthetase), DisA_N domain	6	241
PROKKA_02618	COG1670	Protein N-acetyltransferase, RimJ/RimL family	7	175
PROKKA_02619	COG4430	Uncharacterized conserved protein YdeI, YjbR/CyaY-like superfamily, DUF1801 family	10	130
PROKKA_02620	COG1314	Preprotein translocase subunit SecG	24	67
PROKKA_02623	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	8	255
PROKKA_02625	COG0019	Diaminopimelate decarboxylase	18	412
PROKKA_02626	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	1	519
PROKKA_02626	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	3	227
PROKKA_02626	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	335	528
PROKKA_02630	COG3049	Penicillin V acylase or related amidase, Ntn superfamily	9	325
PROKKA_02631	COG3568	Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family	22	250
PROKKA_02632	COG0218	GTP-binding protein EngB required for normal cell division	34	227
PROKKA_02633	COG0462	Phosphoribosylpyrophosphate synthetase	3	311
PROKKA_02634	COG1826	Sec-independent protein translocase protein TatA	12	80
PROKKA_02635	COG0805	Sec-independent protein secretion pathway component TatC	84	260
PROKKA_02636	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	1	224
PROKKA_02637	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	1	259
PROKKA_02639	COG1192	Cellulose biosynthesis protein BcsQ	1	251
PROKKA_02642	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	59	192
PROKKA_02652	COG0612	Predicted Zn-dependent peptidase	5	295
PROKKA_02652	COG0612	Predicted Zn-dependent peptidase	356	753
PROKKA_02653	COG0612	Predicted Zn-dependent peptidase	20	86
PROKKA_02654	COG2839	Uncharacterized conserved protein YqgC, DUF456 family	1	150
PROKKA_02655	COG0853	Aspartate 1-decarboxylase	4	119
PROKKA_02656	COG0414	Panthothenate synthetase	1	254
PROKKA_02660	COG1773	Rubredoxin	1	54
PROKKA_02662	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	1	226
PROKKA_02663	COG3787	Uncharacterized conserved protein YhbP, UPF0306 family	81	210
PROKKA_02664	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	224	375
PROKKA_02665	COG1663	Tetraacyldisaccharide-1-P 4'-kinase	5	342
PROKKA_02666	COG0005	Purine nucleoside phosphorylase	5	268
PROKKA_02667	COG0629	Single-stranded DNA-binding protein	1	115
PROKKA_02668	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	2	185
PROKKA_02669	COG2131	Deoxycytidylate deaminase	6	136
PROKKA_02670	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	412	1090
PROKKA_02670	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	6	321
PROKKA_02671	COG0463	Glycosyltransferase involved in cell wall bisynthesis	1	235
PROKKA_02672	COG0463	Glycosyltransferase involved in cell wall bisynthesis	5	102
PROKKA_02674	COG2151	Metal-sulfur cluster biosynthetic enzyme	1	104
PROKKA_02675	COG2166	Sulfur transfer protein SufE, Fe-S center assembly	1	127
PROKKA_02676	COG1524	Predicted pyrophosphatase or phosphodiesterase, AlkP superfamily	197	512
PROKKA_02678	COG1947	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	1	258
PROKKA_02679	COG0698	Ribose 5-phosphate isomerase RpiB	3	142
PROKKA_02680	COG2832	Uncharacterized membrane protein YbaN, DUF454 family	1	86
PROKKA_02682	COG2963	Transposase and inactivated derivatives	1	95
PROKKA_02682	COG2963	Transposase and inactivated derivatives	54	154
PROKKA_02683	COG2801	Transposase InsO and inactivated derivatives	27	254
PROKKA_02685	COG3451	Type IV secretory pathway, VirB4 component	193	556
PROKKA_02690	COG1192	Cellulose biosynthesis protein BcsQ	4	213
PROKKA_02696	COG1404	Serine protease, subtilisin family	220	537
PROKKA_02701	COG4804	Predicted nuclease of restriction endonuclease-like (RecB) superfamily,  DUF1016 family	106	268
PROKKA_02706	COG1396	Transcriptional regulator, contains XRE-family HTH domain	14	86
PROKKA_02719	COG4227	Antirestriction protein ArdC	6	122
PROKKA_02721	COG0597	Lipoprotein signal peptidase	87	265
PROKKA_02723	COG3547	Transposase	1	285
PROKKA_02724	COG1640	4-alpha-glucanotransferase	227	580
PROKKA_02724	COG1640	4-alpha-glucanotransferase	664	855
PROKKA_02725	COG3279	DNA-binding response regulator, LytR/AlgR family	1	248
PROKKA_02726	COG3275	Sensor histidine kinase, LytS/YehU family	63	239
PROKKA_02728	COG2211	Na+/melibiose symporter or related transporter	58	320
PROKKA_02729	COG1629	Outer membrane receptor proteins, mostly Fe transport	104	792
PROKKA_02732	COG0366	Glycosidase	145	310
PROKKA_02732	COG0366	Glycosidase	420	743
PROKKA_02733	COG0366	Glycosidase	27	400
PROKKA_02734	COG0366	Glycosidase	134	587
PROKKA_02741	COG3378	Phage- or plasmid-associated DNA primase	136	277
PROKKA_02742	COG2452	Predicted site-specific integrase-resolvase	48	101
PROKKA_02746	COG4974	Site-specific recombinase XerD	239	421
PROKKA_02750	COG1192	Cellulose biosynthesis protein BcsQ	1	250
PROKKA_02755	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	63	189
PROKKA_02760	COG0828	Ribosomal protein S21	1	54
PROKKA_02761	COG0642	Signal transduction histidine kinase	368	613
PROKKA_02768	COG1629	Outer membrane receptor proteins, mostly Fe transport	83	748
PROKKA_02770	COG0524	Sugar or nucleoside kinase, ribokinase family	7	283
PROKKA_02771	COG2814	Predicted arabinose efflux permease, MFS family	11	132
PROKKA_02773	COG1219	ATP-dependent protease Clp, ATPase subunit	2	249
PROKKA_02774	COG1219	ATP-dependent protease Clp, ATPase subunit	19	141
PROKKA_02775	COG0740	ATP-dependent protease ClpP, protease subunit	29	220
PROKKA_02776	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	1	315
PROKKA_02777	COG3823	Glutamine cyclotransferase	38	258
PROKKA_02778	COG1410	Methionine synthase I, cobalamin-binding domain	338	1173
PROKKA_02779	COG0685	5,10-methylenetetrahydrofolate reductase	10	312
PROKKA_02780	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	4	370
PROKKA_02781	COG0557	Exoribonuclease R	46	717
PROKKA_02782	COG1060	2-iminoacetate synthase ThiH (tyrosine cleavage enzyme, thamine biosynthesis)	1	367
PROKKA_02784	COG3538	Meiotically up-regulated gene 157 (Mug157) protein (function unknown)	78	505
PROKKA_02785	COG4833	Predicted alpha-1,6-mannanase, GH76 family	136	328
PROKKA_02786	COG2755	Lysophospholipase L1 or related esterase	47	226
PROKKA_02787	COG0642	Signal transduction histidine kinase	798	1041
PROKKA_02788	COG4833	Predicted alpha-1,6-mannanase, GH76 family	44	351
PROKKA_02793	COG1629	Outer membrane receptor proteins, mostly Fe transport	113	775
PROKKA_02794	COG0383	Alpha-mannosidase	33	858
PROKKA_02796	COG1269	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	203	614
PROKKA_02797	COG1394	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	1	195
PROKKA_02798	COG1156	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2	7	440
PROKKA_02799	COG1155	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	7	584
PROKKA_02802	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	1	200
PROKKA_02804	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	64	398
PROKKA_02805	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	20	230
PROKKA_02806	COG1466	DNA polymerase III, delta subunit	15	334
PROKKA_02809	COG0669	Phosphopantetheine adenylyltransferase	1	150
PROKKA_02810	COG1044	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	1	339
PROKKA_02811	COG0526	Thiol-disulfide isomerase or thioredoxin	225	338
PROKKA_02812	COG0817	Holliday junction resolvasome RuvABC endonuclease subunit	10	160
PROKKA_02813	COG1225	Peroxiredoxin	208	330
PROKKA_02820	COG2184	Fido, protein-threonine AMPylation domain	8	182
PROKKA_02826	COG4185	Predicted ABC-type ATPase	1	161
PROKKA_02828	COG4974	Site-specific recombinase XerD	92	140
PROKKA_02840	COG4974	Site-specific recombinase XerD	12	238
PROKKA_02844	COG0641	Sulfatase maturation enzyme AslB, radical SAM superfamily	108	466
PROKKA_02845	COG1982	Arginine/lysine/ornithine decarboxylase	3	463
PROKKA_02846	COG0819	Thiaminase	1	189
PROKKA_02847	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	1	260
PROKKA_02848	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	18	196
PROKKA_02849	COG1712	Predicted dinucleotide-utilizing enzyme	46	303
PROKKA_02850	COG0516	IMP dehydrogenase/GMP reductase	6	105
PROKKA_02851	COG0516	IMP dehydrogenase/GMP reductase	24	245
PROKKA_02852	COG1488	Nicotinic acid phosphoribosyltransferase	13	410
PROKKA_02854	COG4974	Site-specific recombinase XerD	14	301
PROKKA_02859	COG1396	Transcriptional regulator, contains XRE-family HTH domain	3	66
PROKKA_02863	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	1	81
PROKKA_02864	COG1109	Phosphomannomutase	34	531
PROKKA_02865	COG0836	Mannose-1-phosphate guanylyltransferase	4	312
PROKKA_02866	COG1482	Mannose-6-phosphate isomerase, class I	1	319
PROKKA_02867	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	22	228
PROKKA_02868	COG0438	Glycosyltransferase involved in cell wall bisynthesis	2	389
PROKKA_02869	COG0438	Glycosyltransferase involved in cell wall bisynthesis	87	274
PROKKA_02871	COG0438	Glycosyltransferase involved in cell wall bisynthesis	2	340
PROKKA_02872	COG0438	Glycosyltransferase involved in cell wall bisynthesis	44	350
PROKKA_02873	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	3	462
PROKKA_02877	COG1131	ABC-type multidrug transport system, ATPase component	1	309
PROKKA_02881	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components	6	345
PROKKA_02882	COG1176	ABC-type spermidine/putrescine transport system, permease component I	8	82
PROKKA_02883	COG1176	ABC-type spermidine/putrescine transport system, permease component I	1	165
PROKKA_02884	COG1177	ABC-type spermidine/putrescine transport system, permease component II	11	276
PROKKA_02885	COG0687	Spermidine/putrescine-binding periplasmic protein	50	374
PROKKA_02886	COG3884	Acyl-ACP thioesterase	23	215
PROKKA_02887	COG2059	Chromate transport protein ChrA	5	191
PROKKA_02888	COG2059	Chromate transport protein ChrA	1	191
PROKKA_02889	COG1611	Predicted Rossmann fold nucleotide-binding protein	1	177
PROKKA_02892	COG0428	Zinc transporter ZupT	12	248
PROKKA_02893	COG0534	Na+-driven multidrug efflux pump	18	451
PROKKA_02894	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	1	191
PROKKA_02896	COG0017	Aspartyl/asparaginyl-tRNA synthetase	1	444
PROKKA_02899	COG0539	Ribosomal protein S1	5	262
PROKKA_02899	COG0539	Ribosomal protein S1	116	262
PROKKA_02899	COG0539	Ribosomal protein S1	120	262
PROKKA_02899	COG0539	Ribosomal protein S1	118	253
PROKKA_02900	COG4481	Uncharacterized protein	5	57
PROKKA_02901	COG0216	Protein chain release factor A	4	140
PROKKA_02902	COG0216	Protein chain release factor A	1	191
PROKKA_02903	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	3	209
PROKKA_02904	COG0237	Dephospho-CoA kinase	1	178
PROKKA_02905	COG0741	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	66	176
PROKKA_02906	COG1362	Aspartyl aminopeptidase	27	311
PROKKA_02907	COG1362	Aspartyl aminopeptidase	1	120
PROKKA_02908	COG0789	DNA-binding transcriptional regulator, MerR family	1	68
PROKKA_02909	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	74	281
PROKKA_02912	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	440	597
PROKKA_02913	COG0504	CTP synthase (UTP-ammonia lyase)	3	526
PROKKA_02914	COG3707	Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains	17	181
PROKKA_02915	COG0174	Glutamine synthetase	4	437
PROKKA_02916	COG3968	Glutamine synthetase type III	5	697
PROKKA_02917	COG1092	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	17	414
PROKKA_02919	COG0705	Membrane associated serine protease, rhomboid family	1	174
PROKKA_02920	COG1247	L-amino acid N-acyltransferase YncA	2	173
PROKKA_02921	COG2082	Precorrin isomerase	1	212
PROKKA_02922	COG1492	Cobyric acid synthase	5	494
PROKKA_02923	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	1	135
PROKKA_02924	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	6	190
PROKKA_02925	COG1270	Cobalamin biosynthesis protein CobD/CbiB	1	300
PROKKA_02926	COG0406	Broad specificity phosphatase PhoE	1	164
PROKKA_02928	COG0368	Cobalamin synthase	69	241
PROKKA_02929	COG2087	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	1	128
PROKKA_02930	COG2038	NaMN:DMB phosphoribosyltransferase	35	349
PROKKA_02931	COG1797	Cobyrinic acid a,c-diamide synthase	1	371
PROKKA_02932	COG2242	Precorrin-6B methylase 2	212	395
PROKKA_02933	COG2099	Precorrin-6x reductase	1	226
PROKKA_02934	COG1010	Precorrin-3B methylase	16	255
PROKKA_02935	COG2073	Cobalamin biosynthesis protein CbiG	47	319
PROKKA_02936	COG2875	Precorrin-4 methylase	1	248
PROKKA_02937	COG1903	Cobalamin biosynthesis protein CbiD	266	600
PROKKA_02939	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	81	306
PROKKA_02941	COG4822	Cobalamin biosynthesis protein CbiK, Co2+ chelatase	131	410
PROKKA_02942	COG1131	ABC-type multidrug transport system, ATPase component	1	239
PROKKA_02944	COG3142	Copper homeostasis protein CutC	5	254
PROKKA_02945	COG4468	Galactose-1-phosphate uridylyltransferase	2	500
PROKKA_02946	COG0153	Galactokinase	50	343
PROKKA_02948	COG0326	Molecular chaperone, HSP90 family	3	642
PROKKA_02950	COG0657	Acetyl esterase/lipase	29	224
PROKKA_02952	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y	26	153
PROKKA_02953	COG1247	L-amino acid N-acyltransferase YncA	6	160
PROKKA_02954	COG0657	Acetyl esterase/lipase	123	355
PROKKA_02956	COG1305	Transglutaminase-like enzyme, putative cysteine protease	11	125
PROKKA_02957	COG1322	DNA anti-recombination protein (rearrangement mutator) RmuC	91	443
PROKKA_02958	COG0426	Flavorubredoxin	1	360
PROKKA_02960	COG4166	ABC-type oligopeptide transport system, periplasmic component	27	527
PROKKA_02961	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	13	467
PROKKA_02963	COG4100	Cystathionine beta-lyase family protein involved in aluminum resistance	14	417
PROKKA_02964	COG1803	Methylglyoxal synthase	1	128
PROKKA_02965	COG0014	Gamma-glutamyl phosphate reductase	60	420
PROKKA_02966	COG0263	Glutamate 5-kinase	1	264
PROKKA_02967	COG0345	Pyrroline-5-carboxylate reductase	2	267
PROKKA_02969	COG1309	DNA-binding transcriptional regulator, AcrR family	2	182
PROKKA_02970	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	100	406
PROKKA_02972	COG0628	Predicted PurR-regulated permease PerM	36	388
PROKKA_02973	COG0427	Acyl-CoA hydrolase	1	421
PROKKA_02974	COG0669	Phosphopantetheine adenylyltransferase	1	158
PROKKA_02975	COG0183	Acetyl-CoA acetyltransferase	1	403
PROKKA_02976	COG1024	Enoyl-CoA hydratase/carnithine racemase	1	250
PROKKA_02977	COG1250	3-hydroxyacyl-CoA dehydrogenase	1	288
